Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
Fever SOS,FBNEO,Cave,Nihon System,"Shoot'em Up, Shoot'em Up / Vertical",0.8,,
FIFA Soccer '97,GB,Tiertex,Black Pearl Software,Sports / Soccer,0.8,,
FIFA Soccer 11,PS2,Electronic Arts,EA Sports,Sports / Football (Soccer),0.65,,
FIFA Soccer 2003,GBA,EA Sports,EA Sports,Sports / Soccer,0.8,,
FIFA Soccer 2005 (USA),PSX,EA Sports,Electronic Arts,"Sports / Soccer, Sports",0.6,,
FIFA Soccer 96,SEGA32X,Extended Play Productions,Electronic Arts,Sports / Soccer,0.5,,
FIFA: Road to World Cup 98,N64,Electronic Arts,Electronic Arts,Sports / Soccer,0.9,,
Fight Fever,NEOGEO,Viccom,SNK,Fight / Versus,0.7,,
Fight for Life,JAGUAR,Atari,Atari,Fight,0.6,,
Fighting Force 64,N64,Core Design,Crave Entertainment,"Fight, Beat'em Up",0.8,,
Fighting Vipers 2,MODEL3,SEGA,SEGA,Fight / 3D,0.6,,
Final Blaster,PCENGINE,Aisystem Tokyo,Namco,Shoot'em up / Vertical,0.65,,
Final DOOM,PRBOOM,Casali brothers,id Software,Shooter / 1st person,0.85,,
Final Fantasy,NES,Squaresoft,Nintendo,Role Playing Games,0.6,,
Final Fantasy Anthology : Final Fantasy V (USA),PSX,Squaresoft,Squaresoft,Role Playing Games,0.6,,
Final Fantasy Anthology : Final Fantasy VI (USA),PSX,Sony,Square Enix,Role Playing Games,0.8,,
Final Fantasy Chronicles : Chrono Trigger (USA),PSX,Squaresoft,Squaresoft,Role Playing Games,0.6,,
Final Fantasy Chronicles : Final Fantasy IV (USA),PSX,Squaresoft,Sony Computer Entertainment,Role Playing Games,0.8,,
Final Fantasy II,SNES,Square,Square,Role playing games,0.8,,
Final Fantasy III,SNES,Square,Square,Role playing games,0.8,,
Final Fantasy IX (France),PSX,Squaresoft,Squaresoft,Role Playing Games,0.8,,
Final Fantasy Origins : FF I & FF II (USA),PSX,Square Enix,Infogrames,Role Playing Games,0.6,,
Final Fantasy Tactics (USA),PSX,Squaresoft,Squaresoft,"Strategy, Role Playing Games",0.8,,
Final Fantasy Tactics Advance,GBA,Square Enix,Square Enix,Role Playing Games,0.6,,
Final Fantasy VII (USA),PSX,Squaresoft,Squaresoft,Role Playing Games,0.8,,
Final Fantasy VIII (France),PSX,Squaresoft,Squaresoft,Role Playing Games,0.8,,
Final Fantasy X,PS2,Square Enix,Sony Computer Entertainment,Role Playing Game,0.9,,
Final Fantasy X-2,PS2,Square Enix,Square Enix,Role Playing Game,0.85,,
Final Fantasy XII,PS2,Square Enix,Square Enix,Role Playing Game,0.85,,
Final Fight,FBNEO,Capcom,Capcom,Beat'em Up,0.8,,
Final Fight CD,SEGACD,Capcom,SEGA,Beat'em Up,0.85,,
Final Fight One,GBA,Suntek,Ubisoft,"Beat'em Up, Fight",0.6,,
Final Fight Revenge,SEGASTV,Capcom,Capcom,Fight / Versus,0.6,,
Final Lap Twin,PCENGINE,NEC,Namco,"Race, Driving / Race 3rd Pers. view",0.9,,
Final Match Tennis,PCENGINE,Human,Human,"Sports / Tennis, Sports",0.8,,
Final Soldier,PCENGINE,Hudson,Hudson,"Shoot'em Up, Action, Shoot'em Up / Vertical",0.8,,
Final Star Force,FBNEO,Tecmo,Tecmo,Shoot'em up / Vertical,0.5,,
Fire Emblem,GBA,Intelligent Systems,Nintendo,"Role Playing Games, Strategy, Tactical Rpg",0.8,,
Fire Emblem : Path of Radiance,GAMECUBE,Intelligent Systems,Nintendo,Role Playing Game / Tactical RPG,0.85,,
Fire Fighter,GB,Teeny Weeny Games,Mindscape,Platform / Shooter Scrolling,0.8,,
Flash Gordon,ZXSPECTRUM,Icon Design,Mastertronic Added Dimension,Action,,,
Flashback : The Quest for Identity,JAGUAR,Tiertex Design Studios,U.S. Gold,Platform,0.8,,
Flashback : The Quest for Identity,MEGADRIVE,U.S. Gold,Delphine Software International,"Adventure, Platform, Action",0.8,,
FlatOut,PS2,Bugbear Entertainment,Empire Interactive,"Racing, Driving",0.8,,
FlatOut 2,PS2,Bugbear Entertainment,Empire Interactive,"Racing, Driving",0.85,,
Flink,SEGACD,Sony,Psygnosis,Adventure,0.7,,
Flip Out!,JAGUAR,Gorilla,Atari,Puzzle-Game,0.6,,
Flipper Slipper,COLECOVISION,Spectravision,Spectravision,Action,0.4,,
Flying Dragon,N64,Culture Brain,Natsume,"Shoot'em Up, Fight",0.6,,
Flying Shark,ZXSPECTRUM,Graftgold,Firebird,Shoot'em Up,,,
Football Champ,FBNEO,Taito,Taito,Sports / Soccer,0.7,,
Football Frenzy,FBNEO,SNK,SNK,Sports / Football,0.5,,
Football Frenzy,NEOGEO,SNK,SNK,Sports / Football,0.5,,
Football International,GB,TOSE,GameTek,Sports / Soccer,0.6,,
Force 21,GBC,The Code Monkeys,Red Storm Entertainment,Strategy,0.5,,
Forgotten Worlds,MASTERSYSTEM,Sanritsu Denki,SEGA,"Shoot'em Up, Shoot'em Up / Horizontal",0.6,,
Formation Armed F,PCENGINE,Manjyudo,Pack In Video,Shoot'em up / Vertical,0.55,,
Formula One : Built to Win,NES,Winky Soft,SETA Corporation,"Race, Driving",0.6,,
Forsaken 64,N64,Iguana Entertainment,Acclaim,"Action, Shooter, Shooter / 1St Person",0.6,,
Fortune Builder,COLECOVISION,Coleco,Coleco,Simulation,,,
Fraction Fever,COLECOVISION,Spinnaker Software,Spinnaker Software,Educational,,,
Frank Thomas Big Hurt Baseball,GB,Iguana Entertainment,Acclaim,Sports / Baseball,0.6,,
Frantic Freddy,COLECOVISION,Spectravideo,Spectravideo,Shooter,,,
Fred,ZXSPECTRUM,Indescomp,Quicksilva,Adventure,0.9,,
Freekstyle,GBA,Full Fat,Zoo Digital Publishing,"Race, Driving",0.7,,
Frenzy,COLECOVISION,Stern Electronics,Coleco,Action,0.85,,
Friday the 13th,NES,Pack In Video,LJN,Action,0.45,,
Frogger,COLECOVISION,Konami,Parker Brothers,Action,0.6,,
Frogger,FBNEO,Konami,Konami,Action / Labyrinth,0.9,,
Frogger,GB,Konami,Majesco,"Shooter, Action",0.8,,
Frogger,GBC,Konami,Majesco,Action / Labyrinth,0.6,,
Frogger Advance : The Great Quest,GBA,Konami,Konami,Puzzle-Game,0.55,,
Frogger II: ThreeeDeep!,COLECOVISION,Parker Brothers,Parker Brothers,Action / Labyrinth,0.75,,
From Out of the Jungle - Tarzan,COLECOVISION,Coleco,Coleco,Action / Adventure,,,
Front Mission 4,PS2,Square Enix,Square Enix,Strategy,0.8,,
Frontline,COLECOVISION,Taito,"Coleco Industries, Inc.","Action, Shooter / Run And Gun, Shooter",0.4,,
Funky Head Boxers,SEGASTV,SEGA,SEGA,Sports / Boxing,0.7,,
Fushigi no Yume no Alice,PCENGINE,FACE,FACE,"Platform, Action",0.6,,
Futurama,PS2,Uds,SCi Games,Platform,0.65,,
Future Knight,ZXSPECTRUM,Gremlin Interactive,Gremlin Graphics Software,Action,,,
G. Darius (USA),PSX,THQ,Infogrames,"Shoot'em Up, Shoot'em Up / Horizontal",0.8,,
Gaia Crusaders,FBNEO,Noise Factory,Noise Factory,Fight / 2.5D,0.8,,
Gaia no Monshou,PCENGINE,NCS,NCS,Strategy,0.7,,
Gaiapolis,FBNEO,Konami,Konami,Fight / Vertical,0.6,,
Gaiares,MEGADRIVE,Telenet,Renovation Products,"Action, Shoot'em Up, Shoot'em Up / Horizontal",0.8,,
Gain Ground,MASTERSYSTEM,SEGA,SEGA,Strategy,0.8,,
Galactic Pinball,VIRTUALBOY,Intelligent Systems,Nintendo,Pinball,0.75,,
Galaga,FBNEO,Namco,Midway,Shoot'em up / Vertical,0.9,,
Galaga : Demons of Death,NES,Namco,Bandai,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
Galaga '88,FBNEO,Namco,Namco,Shooter / Space Invaders Like,0.9,,
Galaga '90,PCENGINE,Namco,NEC,Shoot'em up / Vertical,0.8,,
Galahad,MEGADRIVE,Psygnosis,Electronic Arts,"Action, Platform",0.6,,
Galaxian,COLECOVISION,Namco,Atari,Shoot'em Up,0.8,,
Galaxian,FBNEO,Namco,Namco,Shoot'em up / Vertical,0.9,,
Galaxian,ZXSPECTRUM,Namco,Atari,Shoot'em Up,,,
Galaxy Fight: Universal Warriors,NEOGEO,Sunsoft,SNK,Fight / Versus,0.75,,
Galaxy Force 2,FBNEO,SEGA,SEGA,"Shooter / Plane, 3rd person",0.7,,
Game & Watch Gallery 4,GBA,TOSE,Nintendo,Compilation,0.8,,
Gang Busters,FBNEO,Konami,Konami,Shooter / Run and Gun,0.7,,
Gangster Town,MASTERSYSTEM,SEGA,SEGA,Lightgun Shooter,0.6,,
Ganryu,FBNEO,Visco,SNK,Platform / Fighter Scrolling,0.5,,
Ganryu,NEOGEO,Visco,SNK,Platform / Fighter Scrolling,0.5,,
Garfield - Winter's Tail,ZXSPECTRUM,Softek Software,"Edge, The",Action,,,
Garfield : Caught in the Act,MEGADRIVE,SEGA,SEGA,Platform,0.7,,
Garou: Mark of the Wolves,FBNEO,SNK,SNK,"Fight, Fight / Versus",0.8,,
Garou: Mark of the Wolves,NEOGEO,SNK,SNK,Fight / Versus,0.95,,
Gateway to Apshai,COLECOVISION,The Connelley Group,Epyx,Role playing games,0.6,,
Gauntlet,FBNEO,Atari,Atari,Action / Labyrinth,0.7,,
Gauntlet,MASTERSYSTEM,Tiertex,U.S. Gold,Shooter,0.6,,
Gauntlet : Dark Legacy,PS2,Midway,Midway,Beat'em Up,0.65,,
Gauntlet : Seven Sorrows,PS2,Midway,Midway,Beat'em Up,0.7,,
Gauntlet Legends,N64,Atari,Midway,Role Playing Games,0.8,,
Gazza II,ZXSPECTRUM,Active Minds,Empire Interactive,Sports,0.6,,
Gear Works,GB,Teque,Sony Electronic Publishing,Puzzle-Game,0.6,,
Geist,GAMECUBE,n-Space,Nintendo,Adventure,0.8,,
Gemini Wing,FBNEO,Tecmo,Tecmo,Shoot'em up / Vertical,0.5,,
Genji Tsuushin Agedama,PCENGINE,NEC,NEC,Action,0.8,,
George Foreman's KO Boxing,SNES,Beam Software,Acclaim,Sports / Boxing,0.6,,
Ghost House,MASTERSYSTEM,SEGA,SEGA,Platform,0.6,,
Ghost in the Shell (USA),PSX,Sony,Sony,Action,0.8,,
Ghost Pilots,NEOGEO,SNK,SNK,Shoot'em up / Vertical,0.8,,
Ghostlop,FBNEO,Data East,Data East,Puzzle-Game / Throw,0.7,,
Ghostlop,NEOGEO,Data East,Data East,Puzzle-Game / Throw,0.7,,
Ghosts'n Goblins,FBNEO,Capcom,Capcom,Platform,0.9,,
Ghouls'n Ghosts,FBNEO,Capcom,Capcom,"Platform / Fighter Scrolling, Platform",0.8,,
Ghouls'n Ghosts,MASTERSYSTEM,Capcom,SEGA,Platform,0.6,,
Ghouls'n Ghosts,MEGADRIVE,Capcom,Capcom,Platform,0.6,,
Giga Wing,FBNEO,Takumi,Capcom,Shoot'em up / Vertical,0.85,,
GigaWing,DREAMCAST,Takumi Corporation,Virgin Interactive,Shoot'em Up,0.6,,
GigaWing 2,DREAMCAST,Takumi Corporation,Capcom,"Shoot'em Up, Shoot'em Up / Vertical",0.6,,
Glider Rider,ZXSPECTRUM,Binary Design,Quicksilva,Action,,,
Goal! Goal! Goal!,NEOGEO,Visco,SNK,Sports / Soccer,0.5,,
God Hand,PS2,Clover,Capcom,Beat'em Up,0.85,,
God of War,PS2,SCE Santa Monica,Sony Computer Entertainment,Adventure,0.9,,
God of War : Chains of Olympus,PSP,Ready At Dawn,Sony Computer Entertainment,Beat'em Up,0.85,,
God of War II,PS2,SCE Santa Monica,Sony Computer Entertainment,Beat'em Up,0.95,,
Gods,SNES,The Bitmap Brothers,Interplay,Platform,0.6,,
Goemon's Great Adventure,N64,Konami,Konami,"Action, Action, Adventure, Platform",0.8,,
Golden Axe,FBNEO,Team Shinobi,SEGA,Fight / 2.5D,0.8,,
Golden Axe,MASTERSYSTEM,SEGA,SEGA,Beat'em Up,0.6,,
Golden Axe - The Duel,SEGASTV,SEGA,SEGA,Fight / Versus,0.7,,
Golden Axe III,MEGADRIVE,SEGA,SEGA,"Beat'em Up, Action",0.6,,
Golden Axe Warrior,MASTERSYSTEM,SEGA,SEGA,Role Playing Games,0.6,,
Golden Axe: The Revenge of Death Adder,FBNEO,SEGA,SEGA,Fight / 2.5D,0.6,,
Golden Nugget 64,N64,Westwood Studios,Electronic Arts,"Casino / Slot Machine, Casino",0.6,,
Golden Sun,GBA,Camelot Software,Nintendo,Role Playing Games,0.8,,
Golden Sun : The Lost Age,GBA,Camelot Software,Nintendo,Role Playing Games,0.8,,
GoldenEye 007,N64,Rareware,Nintendo,"Shooter, Shooter / 1St Person",0.8,,
Golf,VIRTUALBOY,Technical Engineering Support,Nintendo,Sports / Golf,0.85,,
Goof Troop,SNES,Capcom,Capcom,Action / Adventure,0.75,,
Gorf,COLECOVISION,Bally Midway,CBS Software,Shooter / Space Invaders Like,0.85,,
GP-1 Part II,SNES,Atlus,Genki,"Race, Driving",0.7,,
Gradius Galaxies,GBA,Mobile 21,Konami,Shoot'em up / Horizontal,0.8,,
Gradius III,FBNEO,Konami,Konami,Shoot'em up / Horizontal,0.6,,
Gran Turismo (USA),PSX,Polyphony Digital,Sony,"Race, Driving",0.8,,
Gran Turismo 2 (Arcade Mode),PSX,Polyphony Digital,Sony Computer Entertainment,"Race, Driving",0.8,,
Gran Turismo 2 (Simulation Mode),PSX,Polyphony Digital,Sony Computer Entertainment,"Race, Driving",0.8,,
Gran Turismo 4,PS2,Polyphony Digital,Sony Computer Entertainment,"Racing, Driving",0.9,,
Grand Theft Auto - Vice City,PORTS,,,,,,
Grand Theft Auto : Chinatown Wars,PSP,Rockstar Games,Rockstar Games,Action / Adventure,0.75,,
Grand Theft Auto : San Andreas,PS2,Rockstar North,Rockstar Games,Adventure / RealTime 3D,0.95,,
Grand Theft Auto : Vice City Stories,PSP,Rockstar Games,Take 2 Interactive,Shooter / TPV,0.85,,
Grand Theft Auto (USA),PSX,DMA Design,Take 2 Interactive,"Race, Driving, Action / Adventure, Action",0.6,,
Grand Theft Auto 2 (USA),PSX,Rockstar North,Rockstar Games,"Action, Shoot'em Up, Race, Driving",0.6,,
Grand Theft Auto III,PORTS,,,,,,
Grandia II,DREAMCAST,Game Arts,Ubisoft,Role Playing Games,0.8,,
Grange Hill,ZXSPECTRUM,Binary Design,Argus Press Software,Adventure,,,
Gratia - Second Earth,FBNEO,Jaleco,Jaleco,Shoot'em up / Horizontal,0.5,,
Great Volleyball,MASTERSYSTEM,SEGA,SEGA,"Sports, Sports / Volleyball",0.6,,
Green Beret,FBNEO,Konami,Konami,Platform / Shooter Scrolling,0.8,,
Green Beret,ZXSPECTRUM,"Jonathan M. Smith, F. David Thorpe",Imagine Software,Shoot'em Up,,,
Groove on Fight - Gouketsuji Ichizoku 3,SEGASTV,Atlus,Atlus,Fight / Versus,0.6,,
Growl,FBNEO,Taito,Taito,Fight / 2.5D,0.7,,
Gryzor,ZXSPECTRUM,"Paul Owens, Mark R. Jones, David Whittaker",Ocean,Shoot'em Up,,,
GT Advance : Championship Racing,GBA,MTO Co,THQ,"Race, Driving",0.8,,
Guardian Force,SEGASTV,Success,Success,Shoot'em up / Vertical,0.7,,
Guardians: Denjin Makai II,FBNEO,Winky Soft,Banpresto,Fight / 2.5D,0.7,,
Guerrilla War,FBNEO,SNK,SNK,Shooter / Run and Gun,0.7,,
Guerrilla War,NES,SNK,SNK,"Shooter, Shooter / Run And Gun",0.8,,
Guerrilla War,ZXSPECTRUM,SNK,Imagine Software,Action,0.7,,
Guilty Gear Judgment,PSP,Arc System Works,Majesco,Fighting / Versus,0.8,,
Guilty Gear X,DREAMCAST,Arc System Works,Sammy Studios,Fight,0.8,,
Guilty Gear XX Accent Core,PS2,Arc System Works,Aksys Games,Fighting / Versus,0.9,,
Gun,PS2,Neversoft,Activision,Adventure,0.8,,
Gun & Frontier,FBNEO,Taito,Taito,Shoot'em up / Vertical,0.7,,
Gun.Smoke,FBNEO,Capcom,Capcom,Shooter / Run and Gun,0.7,,
Gunbird,FBNEO,Psikyo,Psikyo,Shoot'em up / Vertical,0.7,,
Gunbird 2,DREAMCAST,Psikyo,Virgin Interactive,"Shoot'em Up, Shoot'em Up / Vertical",0.6,,
Gunbird 2,FBNEO,Psikyo,Psikyo,Shoot'em up / Vertical,0.9,,
Gundhara,FBNEO,Banpresto,Banpresto,Shooter / Run and Gun,0.8,,
Gunforce - Battle Fire Engulfed Terror Island,FBNEO,Irem,Irem,Platform / Shooter Scrolling,0.7,,
GunForce II,FBNEO,Irem,Irem,Platform / Shooter Scrolling,0.9,,
Gunlock,FBNEO,Taito,Taito,Shoot'em up / Vertical,0.9,,
Gunstar Heroes,MEGADRIVE,Treasure,SEGA,"Beat'em Up, Action, Shooter / Run And Gun, Shooter",0.8,,
Gururin,NEOGEO,FACE,FACE,Puzzle-Game / Fall,0.7,,
Gust Buster,COLECOVISION,Sunrise Software,Sunrise Software,Action,,,
Guwange,FBNEO,Cave,Atlus,Shoot'em Up,0.8,,
Gyroscope,ZXSPECTRUM,Catalyst Coders,Melbourne House,Action,0.7,,
Gyruss,COLECOVISION,Konami,Parker Brothers,Shooter / Run and Gun,0.45,,
Gyruss,FBNEO,Konami,Konami,"Shooter / Plane, 3rd person",0.9,,
Gyruss,NES,Konami,Ultra Games,Shoot'em Up,0.6,,
H.E.R.O. - Helicopter Emergency Rescue Operation,COLECOVISION,Activision,Activision,Adventure,0.75,,
Hammerfist,ZXSPECTRUM,Vivid Image,Activision,Adventure,,,
Hammerin' Harry,FBNEO,Irem,Irem,Platform / Fighter Scrolling,0.7,,
Hamtaro : Ham-Ham Heartbreak,GBA,Pax Softonica,Nintendo,Adventure,0.8,,
Hanagumi Taisen Columns - Sakura Wars,SEGASTV,SEGA,SEGA,Puzzle-Game / Fall,0.65,,
Hands of Time,GBC,Mirage Media,Titus,Adventure,0.65,,
Harley-Davidson & L.A. Riders,MODEL3,SEGA,SEGA,"Race, Driving / Motorcycle Race, 3rd Pers.",0.6,,
Harley-Davidson Motor Cycles : Race Across America,GBC,Canopy Games,WizardWorks,"Race, Driving",,,
Harry Potter and the Chamber of Secrets,GBA,Eurocom,EA Games,Platform,0.7,,
Harvest Moon,SNES,Pack In Video,Natsume,Simulation,0.75,,
Harvest Moon : Friends of Mineral Town,GBA,TOSE,Natsume,"Action, Simulation, Strategy",0.8,,
Harvest Moon 64,N64,Victor Interactive,Natsume,Simulation,0.6,,
Hashire Patrol Car,SEGASTV,SEGA,SEGA,"Race, Driving",,,
Hatch Catch,FBNEO,SemiCom,SemiCom,Puzzle-Game / Throw,0.5,,
Haunted Castle,FBNEO,Konami,Konami,Platform / Fighter Scrolling,0.7,,
Haunting Starring Polterguy,MEGADRIVE,Electronic Arts,Electronic Arts,"Various, Simulation",0.6,,
Hawk Storm,ZXSPECTRUM,Players Software,Players Software,Action,,,
Head over Heels,ZXSPECTRUM,Ocean,Erbe Software,Adventure,0.7,,
Head-On Soccer,MEGADRIVE,U.S. Gold,U.S. Gold,Sports / Soccer,0.5,,
Headhunter,DREAMCAST,Amuze AB,SEGA,Adventure,0.8,,
Heart of the Alien : Out of this World Parts I and II,SEGACD,Virgin Interactive,Delphine Software International,Platform,0.6,,
Heavy Barrel,FBNEO,Data East,Data East,Shooter / Run and Gun,0.6,,
Heavy Smash,FBNEO,Data East,Data East,Sports / Handball,0.5,,
Hellfire,FBNEO,Toaplan,Toaplan,Shoot'em up / Horizontal,0.5,,
Hercules - Slayer of the Damned,ZXSPECTRUM,Cygnus Software Ltd.,Cygnus Software Ltd.,Action,,,
Hero Quest,ZXSPECTRUM,221B Software Development,Gremlin Graphics Software,Strategy,0.7,,
Heroes of Might and Magic,GBC,KnowWonder,3DO,Role playing games,0.45,,
Herzog Zwei,MEGADRIVE,Technosoft,SEGA,Strategy,0.8,,
Hexen,SATURN,Raven Software,GT Interactive,Action,0.75,,
Hexen - Beyond Heretic,GZDOOM,,,,,,
High Stakes Gambling,GB,HAL Laboratory,Nintendo,Casino / Cards,0.65,,
Highway Encounter,ZXSPECTRUM,Vortex Software,Vortex Software,Strategy,,,
"Hit the Ice : VHL, The Official Video Hockey Leagu",PCENGINE,Taito,Taito,Sports / Hockey,0.65,,
Hogs of War (USA),PSX,Infogrames,Infogrames,Strategy,0.8,,
Home Alone,MASTERSYSTEM,Probe Entertainment,SEGA,Platform,1,,
Honoo No Toukyuuji Dodge Danpei,MEGADRIVE,SEGA,SEGA,Sports / Dodgeball,,,
Honoo No Toukyuuji Dodge Danpei,PCENGINE,Aim Software,Hudson,Sports / Dodgeball,0.8,,
Hook,FBNEO,Irem,Irem,Beat'em Up,0.7,,
Horace Goes Skiing,ZXSPECTRUM,Psion Software Ltd.,Sinclair Research,Sports,0.6,,
Hot Wheels : Burnin' Rubber,GBA,Altron,THQ,"Race, Driving",0.3,,
Hotshot,ZXSPECTRUM,Maxwell Technology Ltd.,Prism Leisure Corporation Plc,Action,,,
Hoyle Card Games,GBC,Sandbox,Sierra,Strategy,0.5,,
Hoyle Casino,GBC,Pulsar Interactive,Sierra,Simulation,,,
Hugo - The Evil Mirror,GBC,ITE Media,Electronic Arts,Platform,,,
Hydro Thunder,DREAMCAST,Eurocom,Midway,"Race, Driving",0.6,,
Hydrofool,ZXSPECTRUM,Carter Follis Software Associates,FTL - Faster Than Light,Adventure,0.65,,
Hyper Duel,FBNEO,Technosoft,Technosoft,Shoot'em up / Horizontal,0.7,,
Hyper Olympic,FBNEO,Konami,Konami,Sports / Multisports,0.9,,
I-War,JAGUAR,Imagitec Design,Atari,Shooter,0.55,,
"I, Ball",ZXSPECTRUM,"Timothy Closs, Kevin Wallace",Firebird,Action,,,
"I, Ball II - Quest for the Past",ZXSPECTRUM,Timothy Closs,Firebird,Action,,,
ICO,PS2,SCE Japan,Sony Computer Entertainment,Platform,0.85,,
Ikari III - The Rescue,FBNEO,,SNK,Shooter / Run and Gun,0.8,,
Ikari Warriors,FBNEO,SNK,SNK,Shooter / Run and Gun,0.9,,
Ikaruga,DREAMCAST,Treasure,Treasure,"Shoot'em Up, Shoot'em Up / Vertical",0.8,,
Illusion of Gaia,SNES,Quintet,Enix,Role playing games,0.9,,
Illusions,COLECOVISION,Nice  Ideas,Coleco,Puzzle-Game,,,
Impossible Mission,MASTERSYSTEM,Epyx,U.S. Gold,Platform,0.6,,
Impossible Mission,ZXSPECTRUM,,U.S. Gold,Action,,,
Impossible Mission II,ZXSPECTRUM,Novotrade,,Action,,,
In the Hunt,FBNEO,Irem,Irem,Shoot'em up / Horizontal,0.9,,
Incoming,DREAMCAST,Rage Software,Rage Software,Shoot'em Up,0.6,,
Indiana Jones and the Temple of Doom,ZXSPECTRUM,Atari,U.S. Gold,Action,,,
Indoor Sports,ZXSPECTRUM,"DesignStar Consultants, Inc.",Advance Software,Sports,1,,
Innsmouth no Yakata,VIRTUALBOY,Betop,I'Max,Shooter / 1st person,0.5,,
Inspector Gadget : Operation Madkactus,GBC,RFX Interactive,Light & Shadow Productions (LSP),Strategy,0.4,,
Intensity,ZXSPECTRUM,Graftgold,Firebird,Shoot'em Up,,,
International 3D Tennis,ZXSPECTRUM,Sensible Software,Palace,Sports,,,
International Karate+,ZXSPECTRUM,System 3 Software,System 3 Software,Sports,0.5,,
International Superstar Soccer,GB,Major A,Konami,Sports / Soccer,0.75,,
International Superstar Soccer 2000,N64,KCEO,Konami,"Sports, Sports / Soccer",0.6,,
International Superstar Soccer 64,N64,KCEO,Konami,"Sports, Sports / Soccer",0.8,,
International Superstar Soccer 98,N64,KCEO,Konami,"Sports, Sports / Soccer",0.6,,
International Superstar Soccer Deluxe,SNES,Konami,Konami,Sports / Soccer,0.75,,
Its Only Rock 'N' Roll,COLECOVISION,Xonox,Xonox,Simulation,,,
Ivan 'Ironman' Stewart's Super Off Road,ZXSPECTRUM,Leland Corporation,Virgin,"Race, Driving",,,
J. J. Squawkers,FBNEO,,Athena,Platform / Shooter Scrolling,0.7,,
J. League Pro Striker Kanzenban,MEGADRIVE,SEGA,SEGA,"Action, Sports / Soccer, Sports",,,
Jack Bros.,VIRTUALBOY,Atlus,Atlus,Adventure,0.8,,
Jack Nicklaus Golf,GB,Sculptured Software,Tradewest,Sports / Golf,0.65,,
Jack the Nipper,ZXSPECTRUM,Gremlin Interactive,Gremlin Graphics Software,Adventure,0.6,,
Jack the Nipper II - In Coconut Capers,ZXSPECTRUM,Gremlin Interactive,Gremlin Graphics Software,Action,0.75,,
Jackal,NES,Konami,Konami,"Race, Driving",0.8,,
Jackie Chan Adventures : Legend of the Dark Hand,GBA,Torus Games,Activision,Beat'em Up,0.65,,
Jackie Chan's Action Kung Fu,PCENGINE,Hudson,Hudson,Platform,0.7,,
James Bond 007,COLECOVISION,Parker Brothers,Parker Brothers,Action,0.2,,
James Pond 2 - Codename Robocod,MASTERSYSTEM,Millenium Interactive,U.S. Gold,Platform,0.65,,
Jaws,NES,Westone,LJN,Adventure,0.4,,
Jeff Gordon XS Racing,GBC,Natsume,ASC Games,"Race, Driving",,,
Jeremy McGrath Supercross 2000,N64,Acclaim,Acclaim,"Sports, Race, Driving",0.6,,
Jet Force Gemini,N64,Rareware,Rareware,"Shoot'em Up, Action",0.6,,
Jet Grind Radio,DREAMCAST,Smilebit,SEGA,"Sports, Action / Adventure, Action",0.8,,
Jet Set Willy,ZXSPECTRUM,Software Projects Ltd.,Spud,Platform,0.7,,
Jet Set Willy II - The Final Frontier,ZXSPECTRUM,Software Projects Ltd.,Software Projects Ltd.,Adventure,,,
Jetpac,ZXSPECTRUM,Ultimate,Ultimate,Action,0.75,,
Jigoku Meguri,PCENGINE,Taito,Taito,Platform,0.6,,
Joe & Mac 2 : Lost in the Tropics,SNES,Data East,Data East,Platform,0.85,,
Joe & Mac Returns,FBNEO,Data East,Data East,Platform / Run Jump,0.8,,
Joe Blade,ZXSPECTRUM,Players Software,Players Software,Action,,,
Joe Montana II Sports Talk Football,MEGADRIVE,SEGA,SEGA,"Sports, Sports / Football",,,
John Madden Football,MEGADRIVE,Park Place Productions,Electronic Arts,"Sports, Sports / Football",0.6,,
JoJo's Bizarre Adventure,DREAMCAST,Capcom,Virgin,Fight,0.6,,
JoJo's Venture,FBNEO,Capcom,Capcom,Fight / Versus,0.75,,
Joshua & the Battle of Jericho,NES,Wisdom Tree,Wisdom Tree,"Educational, Puzzle-Game",0.4,,
Journey,FBNEO,Bally Midway,Bally Midway,Action / Labyrinth,0.8,,
Joust,FBNEO,Williams,Williams,Platform / Run Jump,0.8,,
Jr. Pac-Man,FBNEO,Bally Midway,Bally Midway,Action / Labyrinth,0.9,,
Juke Box,COLECOVISION,Spinnaker Software,Spinnaker Software,Strategy,,,
Jumping Jack,FBNEO,,,Platform / Run Jump,0.8,,
Jumping Jack,ZXSPECTRUM,Imagine,Imagine Software,Action,,,
Jumpman Junior,COLECOVISION,Epyx,Epyx,Platform,0.85,,
JumpStart Dino Adventure : Field Trip,GBC,Dice,Knowledge Adventure,Educational,,,
Jungle Hunt,COLECOVISION,Taito,Atari,Platform / Run Jump Scrolling,0.6,,
Jungle King,FBNEO,Taito,Taito,Platform / Run Jump Scrolling,0.9,,
Juno First,FBNEO,Konami,Konami,Shooter / Space Invaders Like,0.8,,
Jurassic Park,MASTERSYSTEM,SEGA,SEGA,Platform,0.8,,
Juuouki,PCENGINE,SEGA,NEC,Action,0.85,,
Kabuki Quantum Fighter,NES,Human,HAL Laboratory,Platform,0.8,,
Kane,ZXSPECTRUM,Mastertronic,Mastertronic,Adventure,0.75,,
