Name,System,Developer,Publisher,Genre,Rating,Column 1,Column 2
Andy Capp,ZXSPECTRUM,Blitter Animations,Mirrorsoft Ltd.,Adventure,0.8,,
Animal Crossing,GAMECUBE,Nintendo EAD,Nintendo,Simulation,0.75,,
Ant Attack,ZXSPECTRUM,Quicksilva,Quicksilva,Action,0.85,,
Antarctic Adventure,COLECOVISION,Konami,Coleco,Action,0.65,,
Anteater,FBNEO,Tago Electronics,Tago Electronics,Action / Labyrinth,0.7,,
Ape Escape (USA),PSX,Sony Computer Entertainment,Sony Computer Entertainment,Platform,0.8,,
Aquattack,COLECOVISION,Interphase Technologies,Interphase Technologies,Action,,,
Arabian,FBNEO,Atari,Atari,Platform / Run Jump,0.6,,
Arabian Fight,FBNEO,SEGA,SEGA,Fight / 2.5D,0.4,,
Arcade Classics : Battlezone & Super Breakout,GB,Solid Software,Black Pearl Software,Compilation,0.55,,
Arcade Hits : Joust & Defender,GBC,Digital Eclipse,Midway,Compilation,0.65,,
Arcade Smash Hits,MASTERSYSTEM,Climax,Virgin Games,Compilation,0.6,,
Area 51,SATURN,Mesa Logic,GT Interactive,Action,0.5,,
Arkanoid,ZXSPECTRUM,Taito,Imagine,Action,0.75,,
Arkanoid - Revenge of Doh,ZXSPECTRUM,Taito,Imagine Software,Action,0.8,,
Armed Police Batrider,FBNEO,Raizing,Raizing,"Shoot'em Up / Vertical, Shoot'em Up",0.6,,
Armored Warriors,FBNEO,Capcom,Capcom,Beat'em Up,0.6,,
Army Men : Air Combat,N64,3DO,3DO,"Strategy, Shoot'em Up, Shooter / Plane, Shooter",0.4,,
Army Men : Operation Green,GBA,Pocket,3DO,Shooter,0.85,,
Army Men : Sarge's Heroes,N64,3DO,3DO,"Shoot'em Up, Shooter / Run And Gun, Shooter",0.6,,
Army Moves,ZXSPECTRUM,Dinamic Software,Dinamic Software,"Shooter / Vehicle, Horizontal",0.6,,
Art of Fighting,NEOGEO,SNK,SNK,"Fight, Fight / Versus",0.6,,
Art of Fighting 2,NEOGEO,SNK,SNK,"Fight, Fight / Versus",0.6,,
Art of Fighting 3 : The Path of the Warrior,FBNEO,SNK,SNK,Fight / Versus,0.65,,
Art of Fighting 3 : The Path of the Warrior,NEOGEO,SNK,SNK,Fight / Versus,0.65,,
Artillery Duel,COLECOVISION,Xonox,Xonox,Strategy,0.65,,
Astérix,MASTERSYSTEM,SEGA,SEGA,Platform,0.8,,
Astérix and the Secret Mission,MASTERSYSTEM,SEGA,SEGA,Platform,0.6,,
Asteroids Deluxe,FBNEO,Dave Shepperd,Atari,Shooter,0.8,,
Astra SuperStars,SEGASTV,Sunsoft,Sunsoft,Fight / Versus,0.75,,
Astro Warrior,MASTERSYSTEM,SEGA,SEGA,"Shoot'em Up, Shoot'em Up / Vertical",0.4,,
Astroball,ZXSPECTRUM,Revelation Software,Digital Reality,Platform,0.7,,
Asura Buster - Eternal Warriors,FBNEO,Fuuki,Fuuki,Fight / Versus,0.8,,
Atari Karts,JAGUAR,Miracle Designs,Atari,"Race, Driving",0.6,,
Athena,FBNEO,SNK,SNK,Platform / Fighter Scrolling,0.3,,
Athena,ZXSPECTRUM,SNK,Imagine Software,Action,,,
Atlantis: The Lost Empire,GBA,THQ,THQ,Platform,0.75,,
Atomic Robo-Kid Special,PCENGINE,UPL,UPL,"Shoot'em Up / Horizontal, Shoot'em Up",0.6,,
Attack of the Mutant Penguins,JAGUAR,Sunrise Software,Atari,Puzzle-Game,0.8,,
Auf Wiedersehen Monty,ZXSPECTRUM,Gremlin Interactive,Gremlin Graphics Software,Action,0.75,,
Avenger,ZXSPECTRUM,Gremlin Interactive,Gremlin Interactive,Adventure,,,
Avengers,FBNEO,Capcom,Capcom,"Fight, Fight / Vertical",0.6,,
Avenging Spirit,FBNEO,Jaleco,Jaleco,Platform / Fighter Scrolling,0.5,,
Axelay,SNES,Konami,Konami,Action,0.75,,
Aztec Adventure : The Golden Road to Paradise,MASTERSYSTEM,SEGA,SEGA,"Puzzle-Game, Strategy",0.6,,
B.C. II: Grog's Revenge,COLECOVISION,Sydney Development,Sierra On-Line,Action,,,
B.Rap Boys,FBNEO,Kaneko,Kaneko,Fight / 2.5D,0.3,,
Back Street Soccer,FBNEO,SunA,SunA,Sports / Soccer,0.5,,
Back to Skool,ZXSPECTRUM,Microsphere Computer Services Ltd.,Serma Software,Adventure,0.9,,
Bad Dudes vs. Dragonninja,FBNEO,Data East,Data East,Platform / Fighter Scrolling,0.5,,
Bagman,FBNEO,Valadon Automation,Valadon Automation,Platform / Run Jump,0.8,,
Baku Baku Animal,SEGASTV,SEGA,SEGA,Puzzle-Game / Fall,0.5,,
Baldur's Gate : Dark Alliance,GBA,Magic Pockets,Ubisoft,Role playing games,0.75,,
Ball Breaker,ZXSPECTRUM,"The Zen Room (Richard M. Taylor, Jon Law, Jay Derrett, Jared Derrett)",CRL Group,Action,,,
Ballistic: Ecks Vs. Sever,GBA,Crawfish Interactive,Bam Entertainment,Shooter / 1st person,0.9,,
Bang Bang Ball,FBNEO,Goodhouse,Banpresto,Puzzle-Game / Throw,0.5,,
Bang Bead,FBNEO,Visco,SNK,Sports,0.7,,
Bang Bead,NEOGEO,Visco,SNK,Sports,0.7,,
Bangai-O,DREAMCAST,Treasure,Entertainment Software Publishing,Shoot'em Up,0.8,,
Banjo-Kazooie,N64,Rareware,Nintendo,"Action, Action / Adventure, Platform",0.8,,
Banjo-Kazooie: Grunty's Revenge,GBA,Rareware,THQ,Platform,0.8,,
Banjo-Tooie,N64,Rareware,Nintendo,"Platform, Action / Adventure, Action",0.8,,
Barbarian,ZXSPECTRUM,Psygnosis,Melbourne House,Action,0.5,,
Barbarian II - The Dungeon of Drax,ZXSPECTRUM,M. C. Lothlorien,Palace,Action,,,
Bari Bari Densetsu,PCENGINE,Taito,Taito,"Race, Driving",0.8,,
Baseball Stars 2,FBNEO,SNK,SNK,"Sports, Sports / Baseball",0.6,,
Baseball Stars 2,NEOGEO,SNK,SNK,"Sports, Sports / Baseball",0.6,,
Baseball Stars Professional,NEOGEO,SNK,SNK,Sports / Baseball,0.7,,
Bases Loaded,GB,TOSE,Jaleco,"Sports, Sports / Baseball",0.6,,
Batman : Rise of Sin Tzu,GBA,Ubisoft,Ubisoft,Platform / Fighter Scrolling,0.3,,
Batman Forever,SEGASTV,Acclaim,Acclaim,Beat'em Up,0.7,,
Batman Returns,SNES,Konami,Konami,Beat'em Up,0.85,,
Batsugun Special Version,FBNEO,Toaplan,Toaplan,Shoot'em up / Vertical,,,
Battle Bakraid: Unlimited Version,FBNEO,Eighting,Eighting,"Shoot'em Up / Vertical, Shoot'em Up",0.4,,
Battle Balls,FBNEO,Seibu Kaihatsu,Seibu Kaihatsu,Puzzle-Game / Fall,0.7,,
Battle Chopper,FBNEO,Irem,Irem,Shooter / Plane,0.5,,
Battle Circuit,FBNEO,Capcom,Capcom,Beat'em Up,0.6,,
Battle Flip Shot,FBNEO,Visco,SNK,Sports,0.6,,
